2026-06-21 01:08:36,338 | INFO | repair.integrity | integrity: 0 files, 0 deduped, 0 quarantined
2026-06-21 01:08:36,866 | INFO | load_osm | Loading model: llama-3.1-8b-instruct (meta-llama/Llama-3.1-8B-Instruct) ...
2026-06-21 01:08:40,799 | INFO | load_osm |   Model llama-3.1-8b-instruct               | attention impl: flash_attention_2
2026-06-21 01:08:40,799 | INFO | load_osm | Model 'llama-3.1-8b-instruct' loaded successfully.
2026-06-21 01:08:43,667 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:08:43,671 | INFO | utils_attention | Converting HF model 'meta-llama/Llama-3.1-8B-Instruct' to HookedTransformer for CDVA patching ...
2026-06-21 01:09:16,756 | INFO | utils_attention | HookedTransformer for 'meta-llama/Llama-3.1-8B-Instruct' cached (device=cuda:0).
2026-06-21 01:09:26,559 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:09:28,220 | INFO | scope.run | scope llama-3.1-8b-instruct: localised layers=[1, 2, 3, 4, 5, 6, 7, 8] pctile=75.0 util=0.000 decod 0.3679->0.3701 (drop -0.01)
2026-06-21 01:10:55,319 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:11:37,280 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:12:01,298 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:12:05,705 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:12:28,245 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:14:38,246 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:21:32,135 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:21:43,195 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:21:49,239 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:24:49,625 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:24:59,008 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:25:09,263 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:25:19,500 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:25:29,687 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:25:44,144 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:25:48,424 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:25:52,722 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
